#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_sample000_estimateChromDepth_002_chr11		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_002_chr11 --chrom chr11
getChromDepth_sample000_estimateChromDepth_003_chr11_KI270721v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_003_chr11_KI270721v1_random --chrom chr11_KI270721v1_random
getChromDepth_sample000_estimateChromDepth_004_chr12		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_004_chr12 --chrom chr12
getChromDepth_sample000_estimateChromDepth_005_chr13		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_005_chr13 --chrom chr13
getChromDepth_sample000_estimateChromDepth_006_chr14		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_006_chr14 --chrom chr14
getChromDepth_sample000_estimateChromDepth_007_chr14_GL000009v2_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_007_chr14_GL000009v2_random --chrom chr14_GL000009v2_random
getChromDepth_sample000_estimateChromDepth_008_chr14_GL000225v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_008_chr14_GL000225v1_random --chrom chr14_GL000225v1_random
getChromDepth_sample000_estimateChromDepth_009_chr14_KI270722v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_009_chr14_KI270722v1_random --chrom chr14_KI270722v1_random
getChromDepth_sample000_estimateChromDepth_010_chr14_GL000194v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_010_chr14_GL000194v1_random --chrom chr14_GL000194v1_random
getChromDepth_sample000_estimateChromDepth_011_chr14_KI270723v1_random_to_012_chr14_KI270724v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_011_chr14_KI270723v1_random_to_012_chr14_KI270724v1_random --chrom chr14_KI270723v1_random --chrom chr14_KI270724v1_random
getChromDepth_sample000_estimateChromDepth_013_chr14_KI270725v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_013_chr14_KI270725v1_random --chrom chr14_KI270725v1_random
getChromDepth_sample000_estimateChromDepth_014_chr14_KI270726v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_014_chr14_KI270726v1_random --chrom chr14_KI270726v1_random
getChromDepth_sample000_estimateChromDepth_015_chr15		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_015_chr15 --chrom chr15
getChromDepth_sample000_estimateChromDepth_016_chr15_KI270727v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_016_chr15_KI270727v1_random --chrom chr15_KI270727v1_random
getChromDepth_sample000_estimateChromDepth_017_chr16		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_017_chr16 --chrom chr16
getChromDepth_sample000_estimateChromDepth_018_chr16_KI270728v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_018_chr16_KI270728v1_random --chrom chr16_KI270728v1_random
getChromDepth_sample000_estimateChromDepth_019_chr17		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_019_chr17 --chrom chr17
getChromDepth_sample000_estimateChromDepth_020_chr17_GL000205v2_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_020_chr17_GL000205v2_random --chrom chr17_GL000205v2_random
getChromDepth_sample000_estimateChromDepth_021_chr17_KI270729v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_021_chr17_KI270729v1_random --chrom chr17_KI270729v1_random
getChromDepth_sample000_estimateChromDepth_022_chr17_KI270730v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_022_chr17_KI270730v1_random --chrom chr17_KI270730v1_random
getChromDepth_sample000_estimateChromDepth_023_chr18		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_023_chr18 --chrom chr18
getChromDepth_sample000_estimateChromDepth_024_chr19		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_024_chr19 --chrom chr19
getChromDepth_sample000_estimateChromDepth_025_chr1_KI270706v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_025_chr1_KI270706v1_random --chrom chr1_KI270706v1_random
getChromDepth_sample000_estimateChromDepth_026_chr1_KI270707v1_random_to_027_chr1_KI270708v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_026_chr1_KI270707v1_random_to_027_chr1_KI270708v1_random --chrom chr1_KI270707v1_random --chrom chr1_KI270708v1_random
getChromDepth_sample000_estimateChromDepth_028_chr1_KI270709v1_random_to_030_chr1_KI270711v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_028_chr1_KI270709v1_random_to_030_chr1_KI270711v1_random --chrom chr1_KI270709v1_random --chrom chr1_KI270710v1_random --chrom chr1_KI270711v1_random
getChromDepth_sample000_estimateChromDepth_031_chr1_KI270712v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_031_chr1_KI270712v1_random --chrom chr1_KI270712v1_random
getChromDepth_sample000_estimateChromDepth_032_chr1_KI270713v1_random_to_033_chr1_KI270714v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_032_chr1_KI270713v1_random_to_033_chr1_KI270714v1_random --chrom chr1_KI270713v1_random --chrom chr1_KI270714v1_random
getChromDepth_sample000_estimateChromDepth_034_chr2		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_034_chr2 --chrom chr2
getChromDepth_sample000_estimateChromDepth_035_chr20		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_035_chr20 --chrom chr20
getChromDepth_sample000_estimateChromDepth_036_chr21		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_036_chr21 --chrom chr21
getChromDepth_sample000_estimateChromDepth_037_chr22		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_037_chr22 --chrom chr22
getChromDepth_sample000_estimateChromDepth_038_chr22_KI270731v1_random_to_039_chr22_KI270732v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_038_chr22_KI270731v1_random_to_039_chr22_KI270732v1_random --chrom chr22_KI270731v1_random --chrom chr22_KI270732v1_random
getChromDepth_sample000_estimateChromDepth_040_chr22_KI270733v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_040_chr22_KI270733v1_random --chrom chr22_KI270733v1_random
getChromDepth_sample000_estimateChromDepth_041_chr22_KI270734v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_041_chr22_KI270734v1_random --chrom chr22_KI270734v1_random
getChromDepth_sample000_estimateChromDepth_042_chr22_KI270735v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_042_chr22_KI270735v1_random --chrom chr22_KI270735v1_random
getChromDepth_sample000_estimateChromDepth_043_chr22_KI270736v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_043_chr22_KI270736v1_random --chrom chr22_KI270736v1_random
getChromDepth_sample000_estimateChromDepth_044_chr22_KI270737v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_044_chr22_KI270737v1_random --chrom chr22_KI270737v1_random
getChromDepth_sample000_estimateChromDepth_045_chr22_KI270738v1_random_to_046_chr22_KI270739v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_045_chr22_KI270738v1_random_to_046_chr22_KI270739v1_random --chrom chr22_KI270738v1_random --chrom chr22_KI270739v1_random
getChromDepth_sample000_estimateChromDepth_047_chr2_KI270715v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_047_chr2_KI270715v1_random --chrom chr2_KI270715v1_random
getChromDepth_sample000_estimateChromDepth_048_chr2_KI270716v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_048_chr2_KI270716v1_random --chrom chr2_KI270716v1_random
getChromDepth_sample000_estimateChromDepth_049_chr3		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_049_chr3 --chrom chr3
getChromDepth_sample000_estimateChromDepth_050_chr3_GL000221v1_random		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_050_chr3_GL000221v1_random --chrom chr3_GL000221v1_random
getChromDepth_sample000_estimateChromDepth_051_chr4		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_051_chr4 --chrom chr4
